dien_tich_m2,so_phong,cach_trung_tam_km,gia_nha_trieu
30,2,19.9,1410
34,3,19.5,2066
38,2,18.8,1952
42,3,18.2,2621
46,4,17.5,3302
50,2,16.8,2783
54,3,16.5,3445
58,2,15.6,3334
62,3,15.1,3676
66,4,14.4,3778
70,2,14.0,4159
74,3,13.2,4853
78,2,12.7,3689
82,3,12.2,5389
86,4,11.6,6056
90,2,11.1,3649
94,3,10.3,6218
98,2,9.6,3538
102,3,9.4,6763
106,4,8.6,7435
110,2,8.1,6918
114,3,7.5,7591
118,2,6.8,7476
122,3,6.1,3585
126,4,5.5,3596
130,2,5.0,8299
134,3,4.4,8983
138,2,3.9,3556
142,3,3.2,3739
146,4,2.7,10202
